id; instituição; programa; grau_academico; título; data defesa; link
1; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/MARILIA; FILOSOFIA; Mestrado; Sobre o Uso da Função Proposicional e sua Gênese Segunda a Epistemologia Genética; 2011-01-01; 
2; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/MARILIA; FILOSOFIA; Mestrado; A Significação na Epistemologia Genética: Contribuições para uma Teoria do Conhecimento; 2010-08-01; 
3; UNIVERSIDADE DE SÃO PAULO; PSICOLOGIA SOCIAL; Doutorado; Implicações do exercicio da imaginação criadora para o estabelecimento da reciprocidade normativa; 2010-11-01; 
4; UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO; PSICOLOGIA; Mestrado; Aspectos Cognitivos e Metodológicos na Utilização do Jogo Xeque-Mate Soccer; 2013-03-15; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1280386
5; UNIVERSIDADE ESTADUAL DE CAMPINAS; MÚSICA; Doutorado; O DESENVOLVIMENTO DA COMPETÊNCIA DE NOTAR MÚSICAS OUVIDAS: UM ESTUDO FUNDAMENTADO NA TEORIA DE PIAGET VISANDO À CONSTRUÇÃO DE CONTRIBUIÇÕES À ATIVIDADE DOCENTE; 2016-02-22; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3632742
6; UNIVERSIDADE DE SÃO PAULO; PSICOLOGIA ESCOLAR E DO DESENVOLVIMENTO HUMANO; Mestrado; Jogo Equilibrio Com Jovens De 11 A 14 Anos: Aspectos Cognitivos E Metodológicos; 2014-04-30; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1327647
7; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/MARILIA; FILOSOFIA; Mestrado; O desenvolvimento da noção de tempo e o papel da imagem mental segundo a Epistemologia Genética; 2014-05-27; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2851690
8; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/MARILIA; FILOSOFIA; Mestrado; O tempo como noção a priori: contribuições da Epistemologia Genética à Teoria do Conhecimento; 2009-02-01; 
9; UNIVERSIDADE DE SÃO PAULO; PSICOLOGIA ESCOLAR E DO DESENVOLVIMENTO HUMANO; Doutorado; O genoma interativo: O modelo de adaptação de Piaget e evidências da Biologia atual; 2015-06-29; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2429362
10; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/MARILIA; FILOSOFIA; Mestrado; O Problema do Paralelismo Psicofisiológico segundo a Epistemologia Genética; 2014-08-21; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1440356
11; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; DO SABOR DE CONTAR HISTÓRIAS AO SABER SOBRE A HISTÓRIA PARA O OUVINTE: estudo sobre a contribuição da contação de histórias ao desenvolvimento do pensamento na criança; 2011-11-01; 
12; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; A APRENDIZAGEM DO ACOMPANHAMENTO HARMÔNICO NO ACORDEOM : O PERCURSO DE TRÊS CRIANÇAS; 2012-02-01; 
13; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; Curso de Pedagogia a Distância da Universidade Federal do Rio Grande do Sul: Concepção e prática do ensinar Matemática; 2010-12-01; 
14; UNIVERSIDADE DE SÃO PAULO; PSICOLOGIA ESCOLAR E DO DESENVOLVIMENTO HUMANO; Doutorado; FAZER E COMPREENDER NO JOGO SUDOKU E EM SUAS SITUAÇÕES-PROBLEMA: UM ESTUDO COM ALUNOS DO 9º ANO DO ENSINO FUNDAMENTAL; 2015-03-06; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2395655
15; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; O PROCESSO DE COMPOSIÇÃO MUSICAL DO ADOLESCENTE : AÇÕES E OPERAÇÕES COGNITIVAS; 2012-02-01; 
16; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; O PROCESSO DE CONSTRUÇÃO DO NÚMERO EM ALUNOS COM NECESSIDADES EDUCACIONAIS ESPECIAIS NA REDE REGULAR DE ENSINO : A QUESTÃO INTELECTUAL; 2013-02-27; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=118075
17; UNIVERSIDADE DE CAXIAS DO SUL; EDUCAÇÃO; Mestrado; Investigando Jean Piaget: a Epistemologia genética e o apriorismo; 2009-12-01; 
18; UNIVERSIDADE FEDERAL DA BAHIA; EDUCAÇÃO; Mestrado; Níveis de desenvolvimento profissional docente: limites e possibilidades de uma leitura piagetiana; 2010-12-01; 
19; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; BRINCADEIRA E APRENDIZAGEM: CONCEPÇÕES DOCENTES NA EDUCAÇÃO INFANTIL; 2012-08-01; 
20; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Doutorado; Modelos de significação e pensamento lógico-matemático: um estudo sobre a influência dos conteúdos na construção da inteligência; 2009-01-01; 
21; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; Visualização espacial na perspectiva da epistemologia genética; 2013-02-26; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1095001
22; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/BAURU; EDUCAÇÃO PARA A CIÊNCIA; Mestrado; Alguns reflexos da didática construtivista no Ensino de Matemática nas quatro séries iniciais do Ensino Fundamental; 2009-03-01; 
23; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; ANÁLISE COMBINATÓRIA E CONSTRUÇÃO DE POSSIBILIDADES : O RACIOCÍNIO FORMAL NO ENSINO MÉDIO; 2012-02-01; 
24; UNIVERSIDADE DE SÃO PAULO; PSICOLOGIA ESCOLAR E DO DESENVOLVIMENTO HUMANO; Doutorado; O Jogo Set Junior em oficina de jogos: Processos de aprendizagem e atividades de intervenção; 2018-04-04; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6399648
25; UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( ASSIS ); PSICOLOGIA; Doutorado; Princípios do método clínico de Jean Piaget: uma análise dos protocolos de pesquisa entre 1920 e 1922; 2018-04-06; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6432891
26; UNIVERSIDADE ESTADUAL DE CAMPINAS; EDUCAÇÃO; Mestrado; A construção do conhecimento em crianças com dificuldades  em matemática, utilizando o jogo de regras mancala; 2009-12-01; 
27; UNIVERSIDADE DE SÃO PAULO; PSICOLOGIA SOCIAL; Doutorado; Da doutrina e do método em medicina legal. Ensaio epistemológico sobre uma ciência Bio-Psico-Social; 2009-04-01; 
28; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/ASSIS; PSICOLOGIA; Mestrado; JOGOS DE REGRAS E EDUCAÇÃO: Concepções de docentes do Ensino Fundamental; 2009-12-01; 
29; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/ASSIS; PSICOLOGIA; Doutorado; SIGNIFICAÇÕES E SENTIMENTOS SOBRE O ERRO: alunos que frequentam a sala de apoio à aprendizagem; 2014-06-06; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1390900
30; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/MARILIA; EDUCAÇÃO; Doutorado; A formação da noção da força corporal na criança: contribuições para a Educação Física; 2009-02-01; 
31; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/BAURU; EDUCAÇÃO PARA A CIÊNCIA; Doutorado; Inteligência e Ensino de Ciências: um estudo fundamentado na Epistemologia Genética de Piaget; 2009-07-01; 
32; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; A Física e a Epistemologia Genética: Um estudo sobre a noção de conservação de energia nos alunos do ensino médio; 2011-09-01; 
33; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; COMPREENDENDO OS PROCEDIMENTOS DA ATIVIDADE TOCAR DE OUVIDO; 2011-08-01; 
34; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/MARILIA; EDUCAÇÃO; Doutorado; A noção de espaço na prática desportiva: um estudo de casos múltiplos com base na Epistemologia Genética com praticantes de futsal; 2011-02-01; 
35; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; A argumentação na resolução de problemas de Matemática: uma análise a partir da Epistemologia Genética; 2015-02-13; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2687307
36; UNIVERSIDADE DE SÃO PAULO; EDUCAÇÃO; Doutorado; Móbiles da ação: da cor à experiência estética; 2013-09-23; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=841244
37; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; A PERMANÊNCIA EM UM CURSO DE PEDAGOGIA A DISTÂNCIA: UM ESTUDO PIAGETIANO SOBRE O INTERESSE DAS ALUNAS.; 2018-03-26; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6305239
