instituicao, programa, autor, titulo, ano, link
universidade federal do rio grande do sul; administração; fabrício sobrosa affeldt; desenvolvimento e aplicação de um modelo construtivista para o ensino de administração; 2011-06-01;
universidade federal do rio grande do sul; administração; barbara lorenzoni basso; educação e construção de conhecimento: uma experiência no curso de graduação em administração; 2015-06-02; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoconclusao/viewtrabalhoconclusao.jsf?popup=true&id_trabalho=2791609
universidade federal da bahia; administração; nair de almeida morais sousa; participação na gestão da educação pública no município de jatobá do piauí: relato de uma experiência (2000 a 2009).; 2015-04-24; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoconclusao/viewtrabalhoconclusao.jsf?popup=true&id_trabalho=2709962
universidade de são paulo; administração; waldemar hazoff junior; gestão eficiente em sala de aula: seis estudos em ciências sociais aplicadas; 2012-02-01; 
universidade federal de santa catarina; administração; sergio adelar brun; o ensino e a aprendizagem da administração da produção: uma contribuição teórico-empírica.; 2013-05-16; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoconclusao/viewtrabalhoconclusao.jsf?popup=true&id_trabalho=132510
universidade federal de santa catarina; administração; mayara teodoro de oliveira; proposta metodológica para inovação do ensino aprendizagem da disciplina de administração da produção; 2013-11-05; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoconclusao/viewtrabalhoconclusao.jsf?popup=true&id_trabalho=95664
universidade federal do rio de janeiro; arquitetura; hélide cristina steenhagen blower; o lugar do ambiente na educação infantil: estudo de caso na creche doutor paulo niemeyer.; 2008-02-01;
universidade federal do pará; artes; danihellen prince dias siqueira; práticas psicopedagógicas na educação musical de alunos com transtorno do déficit de atenção e hiperatividade (tdah); 2015-06-24; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoconclusao/viewtrabalhoconclusao.jsf?popup=true&id_trabalho=2405340
universidade federal do rio grande do sul; artes cênicas; gustavo machado de araujo; conhecimento em teatro e afetividade: desenvolvimento moral e experiências discentes na educação básica; 2016-04-19; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoconclusao/viewtrabalhoconclusao.jsf?popup=true&id_trabalho=3623565
universidade federal do rio grande do sul; artes cênicas; joana izabel da silva; misterioso, mas não indecifrável: um estudo sobre a aprendizagem na iniciação teatral; 2009-05-01;
universidade de são paulo; artes visuais; alessandra rachel antonelli palaia; oficina de cerâmica : o ensino da arte para alunos com necessidades educacionais especiais; 2009-02-01;
fundação getúlio vargas/rj; administração; roger luz da rocha; jogos digitais como estratégia de aprendizado: uma proposta de aplicação para o ensino da administração pública; 2015-09-29; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoconclusao/viewtrabalhoconclusao.jsf?popup=true&id_trabalho=2677244
universidade federal do rio de janeiro; bioética, ética aplicada e saúde coletiva; sandra de matos botelho da costa; bullying na universidade: perspectivas a partir do estudo do desenvolvimento moral e da imagem corporal ; 2016-11-23; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoconclusao/viewtrabalhoconclusao.jsf?popup=true&id_trabalho=4556565
universidade federal do rio de janeiro; bioética, ética aplicada e saúde coletiva; vita guimaraes mongiovi; ética profissional e formação em enfermagem: a concepção dos docentes; 2013-07-31; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoconclusao/viewtrabalhoconclusao.jsf?popup=true&id_trabalho=1017232
universidade federal do rio de janeiro; bioética, ética aplicada e saúde coletiva; patricia goncalves camacho; validação de instrumento para mensuração da sensibilidade moral de profissionais envolvidos em pesquisas com humanos; 2015-12-12; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoconclusao/viewtrabalhoconclusao.jsf?popup=true&id_trabalho=3322006
universidade est.paulista júlio de mesquita filho/marilia; ciência da informação; lucirene andréa catini lanzi; apropriação das tecnologias de informação e comunicação em bibliotecas escolares: em busca de um espaço dinâmico; 2012-05-01;
pontifícia universidade católica do rio grande do sul; ciências criminais; marcello jahn dos santos; “o adolescente em conflito com a lei: uma análise do desenvolvimento moral cognitivo de adolescentes que cometeram latrocínio”; 2015-12-09; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoconclusao/viewtrabalhoconclusao.jsf?popup=true&id_trabalho=3334193
universidade do vale do rio dos sinos; ciências da comunicação; daniel burin chu; midiatização e circulação nos processos de call centers: perspectivas comunicacionais para o estudo da produção e recepção no universo do telemarketing; 2015-04-24; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoconclusao/viewtrabalhoconclusao.jsf?popup=true&id_trabalho=2413679
universidade de são paulo; ciências da comunicação; erica masiero nering; o aprendizado na margem hipermidiática: aproximações hermenêuticas no cotidiano da pós-modernidade; 2015-12-17; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoconclusao/viewtrabalhoconclusao.jsf?popup=true&id_trabalho=3356643
universidade federal fluminense; ciências da informação; luiz henrique guimarães castiglione; epistemologia da geoinformação: uma análise histórico-crítica; 2009-03-01;
universidade federal de rondônia; ciências da linguagem; agripina aparecida gontijo rodrigues; linguagem e dislexia: um estudo do processo de alfabetização numa perspectiva inclusiva das escolas de nova mamoré, (ro); 2009-02-01;
universidade est.paulista júlio de mesquita filho/rio claro; ciências da motricidade; maria caroline da rocha diz; perseveração motora na deficiência visual: impacto da restrição do organismo na tarefa de alcançar objetos; 2008-11-01;
universidade est.paulista júlio de mesquita filho/rio claro; ciências da motricidade; juliana bayeux dascal; controle postural de idosos: efeito da pertutbação visual com o uso do sistema âncora.; 2009-05-01;
universidade est.paulista júlio de mesquita filho/rio claro; ciências da motricidade; maria fernanda eichenberger romani; efeito da prematuridade na tarefa 'a não b': um estudo longitudinal; 2010-02-01;
universidade de são paulo; ciências da reabilitação; fabiola custódio flabiano-almeida; a constituição da representação pela criança com síndrome de down; 2010-04-01;
universidade de são paulo; ciências da reabilitação; sandra cristina fonseca pires; comunicação suplementar e/ou alternativa e ganho lexical na criança com síndrome de down : estudo piloto; 2008-08-01;
universidade de são paulo; ciências da reabilitação; karina elena cadioli bernardis bühler; desenvolvimento cognitivo e de linguagem expressiva em bebês pré-termo muito baixo peso em seus estágios iniciais; 2008-06-01;
universidade metodista de são paulo; ciências da religião; paulo bessa da silva; altruísmo na auto-imagem de pastores e pastoras metodistas.; 2008-03-01; 
pontifícia universidade católica de minas gerais; ciências da religião; vera lúcia oliveira neiss; imaginário religioso infantil: desafios e perspectivas para a compreensão da criança de dez anos; 2010-03-01;
