instituicao; quantidade
universidade federal de santa catarina; 7
universidade federal do rio de janeiro; 1
universidade federal do pará; 1
universidade federal do rio grande do sul; 2
universidade de são paulo; 1
universidade federal do rio de janeiro; 3
universidade est.paulista júlio de mesquita filho/marilia; 1
pontifícia universidade católica do rio grande do sul; 1
universidade de são paulo; 2
universidade federal fluminense; 1
universidade federal de rondônia; 1
universidade est.paulista júlio de mesquita filho/rio claro; 3
universidade de são paulo; 3
universidade católica de pernambuco; 3
universidade federal de minas gerais; 1
universidade de santo amaro; 2
universidade estadual de campinas; 1
universidade estadual do norte fluminense darcy ribeiro; 1
universidade estadual do norte fluminense darcy ribeiro; 2
universidade federal do rio grande; 3
universidade federal de juiz de fora; 2
universidade de sorocaba; 1
universidade federal do rio grande do sul; 1
pontifícia universidade católica de são paulo; 3
pontifícia universidade católica de minas gerais; 1
universidade de são paulo; 1
universidade est.paulista júlio de mesquita filho/bauru; 1
fundação universidade federal do piauí; 1
fundacao visconde de cairu; 1
faculdade alves faria                                       ; 1
centro univers. das faculdades associadas de ensino fae     ; 1
pontifícia universidade católica do rio de janeiro; 3
universidade federal da bahia; 1
pontifícia universidade católica do paraná; 5
universidade federal fluminense; 1
universidade federal do pará; 1
universidade est.paulista júlio de mesquita filho/bauru; 1
universidade federal de viçosa; 6
universidade federal de minas gerais; 381
pontifícia universidade católica de são paulo; 1
pontifícia universidade católica de são paulo; 3
universidade federal rural do rio de janeiro; 1
universidade federal do rio grande; 1
universidade federal de santa catarina; 1
universidade estadual do sudoeste da bahia; 1
universidade do estado da bahia; 2
universidade federal de são paulo; 1
instituto federal de educ., ciênc. e tecn. sul-rio-grandense; 1
pontifícia universidade católica do rio grande do sul; 3
universidade federal do pará; 2
universidade do estado do amazonas; 2
universidade federal do rio grande; 5
universidade est.paulista júlio de mesquita filho/araraquara; 7
fundação universidade de pernambuco; 2
fundação universidade de pernambuco; 1
pontifícia universidade católica de são paulo; 20
universidade federal de pernambuco; 1
universidade est.paulista júlio de mesquita filho/bauru; 4
universidade estadual de maringá; 3
universidade estadual de maringá; 3
centro federal de educação tecn. de minas gerais; 1
universidade são marcos; 1
universidade presbiteriana mackenzie; 1
universidade federal do paraná; 1
universidade federal de são paulo; 4
universidade de mogi das cruzes; 2
universidade federal de santa catarina; 1
universidade federal de uberlândia; 4
pontifícia universidade católica de minas gerais; 5
universidade federal rural de pernambuco; 4
universidade tecnológica federal do paraná; 4
instituto federal de educacao, ciencia e tecnologia do rio de janeiro; 9
universidade de são paulo; 3
universidade federal fluminense; 1
universidade estadual de londrina; 1
universidade federal do amazonas; 16
universidade federal de são carlos; 1
universidade federal do rio grande do norte; 1
universidade federal do rio grande do sul; 5
universidade federal do rio grande; 3
universidade federal do rio grande do sul; 7
centro universitário de volta redonda; 1
universidade do estado do rio de janeiro; 1
universidade federal do rio grande do sul; 1
universidade federal da bahia; 3
universidade federal de mato grosso; 1
universidade federal de mato grosso; 1
centro federal de educação tecn. de minas gerais; 1
universidade federal de minas gerais; 1
universidade católica do salvador; 1
universidade est.paulista júlio de mesquita filho/marilia; 9
universidade tecnológica federal do paraná; 1
universidade federal do ceará; 2
universidade estadual do oeste do parana; 16
universidade de são paulo; 2
pontifícia universidade católica de são paulo; 1
universidade federal de juiz de fora; 1
universidade do estado da bahia; 1
faculdade vale do cricaré; 1
universidade católica de pelotas; 4
universidade federal do rio grande do sul; 21
universidade federal de pernambuco; 14
universidade federal da bahia; 2
universidade federal do tocantins; 1
universidade federal de juiz de fora; 5
universidade de taubaté; 2
pontifícia universidade católica de são paulo; 2
universidade de são paulo; 1
universidade federal rural do rio de janeiro; 8
pontifícia universidade católica do rio grande do sul; 1
universidade federal do rio grande do sul; 1
universidade norte do paraná; 1
universidade federal do rio grande; 1
universidade federal de alagoas; 1
faculdade de tecnologia senai cimatec; 1
universidade estadual de campinas; 1
universidade federal de goiás; 11
universidade do sagrado coração; 1
universidade federal do rio grande do sul; 1
universidade de brasília; 1
universidade veiga de almeida; 2
universidade federal de são paulo; 1
universidade federal do espírito santo; 53
universidade de são paulo; 1
universidade federal da paraíba/joão pessoa; 2
universidade de são paulo; 1
universidade federal de pernambuco; 9
universidade metodista de são paulo; 1
centro universitário fieo; 1
universidade de são paulo; 22
universidade federal do espírito santo; 1
universidade federal da paraíba/joão pessoa; 10
universidade federal do rio grande do sul; 3
universidade federal de goiás; 1
universidade do estado do rio de janeiro; 2
universidade estadual do ceará; 3
fundacao oswaldo cruz; 2
universidade federal fluminense; 1
universidade de santa cruz do sul; 1
universidade estadual do norte fluminense darcy ribeiro; 1
universidade tecnológica federal do paraná; 1
centro estadual de educação tecnológica paula souza; 1
pontifícia universidade católica de são paulo; 15
universidade federal de uberlândia; 1
pontifícia universidade católica do paraná; 13
universidade federal de santa catarina; 1
