programa; quantidade
administração; 7
arquitetura; 1
artes; 1
artes cênicas; 2
artes visuais; 1
bioética, ética aplicada e saúde coletiva; 3
ciência da informação; 1
ciências criminais; 1
ciências da comunicação; 2
ciências da informação; 1
ciências da linguagem; 1
ciências da motricidade; 3
ciências da reabilitação; 3
ciências da religião; 3
ciências da saúde; 1
ciências humanas; 2
ciências médicas; 1
ciências naturais; 1
cognição e linguagem; 2
computação; 3
comunicação; 2
comunicação e cultura; 1
comunicação e informação; 1
comunicação e semiótica; 3
comunicação social: interações midiáticas; 1
controladoria e contabilidade; 1
desenho industrial; 1
desenvolvimento e meio ambiente; 1
desenvolvimento humano e responsabilidade social; 1
desenvolvimento regional; 1
desenvolvimento sustentável e qualidade de vida; 1
design; 3
difusão do conhecimento ifba - senai/cimatec - lncc - uneb - uefs; 1
direito; 5
diversidade e inclusão; 1
docência em educação em ciências e matemáticas; 1
docência para a educação básica; 1
economia doméstica; 6
educação; 381
educação (currículo); 1
educação (psicologia da educação); 3
educação agrícola; 1
educação ambiental; 1
educação cientifica e tecnológica; 1
educação científica e formação de professores; 1
educação e contemporaneidade; 2
educação e saúde na infância e adolescência; 1
educação e tecnologia; 1
educação em ciências e matemática; 3
educação em ciências e matemáticas; 2
educação em ciências na amazônia; 2
educação em ciências quìmica da vida e saúde ( ufsm - furg); 5
educação escolar; 7
educação física; 2
educação física fesp - upe  -  ufpb; 1
educação matemática; 20
educação matemática e tecnológica; 1
educação para a ciência; 4
educação para a ciência e a matemática; 3
educação para a ciência e o ensino de matemática; 3
educação tecnológica; 1
educação, administração e comunicação; 1
educação, arte e história da cultura; 1
educação: teoria e prática de ensino; 1
enfermagem; 4
engenharia biomédica; 2
engenharia de produção; 1
engenharia elétrica; 4
ensino; 5
ensino das ciências; 4
ensino de ciência e tecnologia; 4
ensino de ciências; 9
ensino de ciências  (modalidades física, química e biologia); 3
ensino de ciências da natureza; 1
ensino de ciências e educação matemática; 1
ensino de ciências e matemática; 16
ensino de ciências exatas; 1
ensino de ciências naturais  e matemática; 1
ensino de física; 5
ensino de física  - profis; 3
ensino de matemática; 7
ensino em ciências da saúde e do meio ambiente; 1
ensino em educação básica; 1
ensino na saúde; 1
ensino, filosofia e história das ciências; 3
estudos de cultura contemporânea; 1
estudos de linguagem; 1
estudos de linguagens; 1
estudos lingüísticos; 1
família na sociedade contemporãnea; 1
filosofia; 9
formação científica, educacional e tecnológica; 1
física; 2
geografia; 16
geografia (geografia humana); 2
gerontologia; 1
gestão e avaliação da educação pública; 1
gestão e tecnologias aplicadas à educação; 1
gestão social, educação e desenvolvimento regional; 1
informática; 4
informática na educação; 21
letras; 14
letras e lingüística; 2
letras:ensino de língua e literatura; 1
lingüística; 5
lingüística aplicada; 2
lingüística aplicada e estudos da linguagem; 2
língua hebraica, literatura e cultura judaica; 1
matemática em rede nacional; 8
medicina e ciências da saúde.; 1
medicina: ciências médicas; 1
metodologias para o ensino de linguagens e suas tecnologias; 1
modelagem computacional; 1
modelagem computacional de conhecimento; 1
modelagem computacional e tecnologia industrial; 1
multiunidades em ensino de ciências e matemática; 1
música; 11
odontologia; 1
planejamento urbano e regional; 1
processos de desenvolvimento humano e saúde; 1
psicanálise, saúde e sociedade; 2
psicobiologia; 1
psicologia; 53
psicologia (psicologia experimental); 1
psicologia (psicologia social); 2
psicologia clínica; 1
psicologia cognitiva; 9
psicologia da saúde; 1
psicologia educacional; 1
psicologia escolar e do desenvolvimento humano; 22
psicologia institucional; 1
psicologia social; 10
psicologia social e institucional; 3
química; 1
saúde coletiva; 2
saúde da criança e do adolescente; 3
saúde pública; 2
sistemas de gestão; 1
sistemas e processos industriais; 1
sociologia política; 1
tecnologia; 1
tecnologia: gestão desenvolvimento e formação; 1
tecnologias da inteligência e design digital; 15
tecnologias, comunicação e educação; 1
teologia; 13
urbanismo, história e arquitetura da cidade; 1
